code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
83920,SAO JOAQUIM,SC,185.7,182.6,126.1,106.7,144,127.2,199.8,143.2,186.1,182.5,166.5,137.1,1887.5,-49.93499999,-28.27583332
83923,URUSSANGA,SC,191.8,179.3,188.9,108.8,157.6,66.7,120.6,110,122.4,129.5,150.5,157.7,1683.8,-49.31666666,-28.51666666
83096,ARACAJU,SE,51.9,71.7,87.6,174.2,241.8,207.2,157.6,107.5,64.9,60.7,47.1,28,1300.2,-37.05,-10.95
83195,ITABAIANINHA,SE,62.7,63.7,87.5,111.4,156.4,173.6,137.3,102.8,75.5,52.8,46.3,35.5,1105.5,-37.79472221,-11.27249999
83097,PROPRIA,SE,52.1,30,60,110.8,165.5,170.2,142.8,91.9,55.8,36.1,24.5,23.3,963,-36.84194444,-10.21361111
83621,ANDRADINA,SP,233.6,183.9,147.7,93.9,69.6,27.5,18,42.2,72.1,116.6,125.2,197.1,1327.4,-51.38333333,-20.91666666
83773,AVARE,SP,287.5,182.6,159.5,105.6,94.4,62.5,56.9,48.4,96.5,143.1,131.3,210.5,1578.8,-48.91138888,-23.08333333
83714,CAMPOS DO JORDAO,SP,253.1,206,196.7,85.5,82.5,38,45.9,38.3,85.8,133,160.6,240,1565.4,-45.6,-22.75
83676,CATANDUVA,SP,274.6,209.9,158.7,61.7,66.2,25.4,24.1,25.4,53,96.8,111.8,208.4,1316,-48.93333333,-21.11666666
83630,FRANCA,SP,323.2,243.8,207.5,77.7,57.5,17.9,18.4,21.6,67.2,161.4,189,287.4,1672.6,-47.36666666,-20.58333333
83075,GUARULHOS,SP,269.1,224.9,203.9,86.6,79,41.7,48.5,32.1,88.9,122.5,134.8,226.8,1558.8,-46.46666666,-23.43333333
83821,IGUAPE,SP,254.2,196.3,254.2,168.5,144.7,108.3,114.5,79.7,143.3,139.2,146.4,204.2,1953.5,-47.55,-24.71666666
83774,ITAPEVA,SP,147,131.5,121.7,84.5,128.8,75.1,NA,40.9,94.1,116,109.6,NA,NA,-48.88333333,-23.95
